Scout,Tenderfoot,SecondClass,FirstClass,Star,Life,Eagle,Palms,MeritBadge,Date,YTD,Male_Youth,Female_Youth,Youth,Unit,LDS,Gender,Sub-District
0,0,0,0,0,4,7,5,96,2019,11,48,0,48,Troop 0746-BT,Y,B,5
0,0,0,0,2,0,0,0,4,2019,2,24,0,24,Troop 0757-BT,Y,B,5
1,0,0,0,0,2,2,2,27,2019,5,42,0,42,Troop 0763-BT,Y,B,5
0,0,0,0,0,1,5,0,18,2019,6,50,0,50,Troop 0793-BT,Y,B,5
1,1,1,1,1,1,3,0,17,2020,9,21,0,21,Troop 0003-BT,N,B,
1,2,2,0,2,1,2,0,37,2020,10,19,1,20,Troop 0009-BT,N,B,
9,5,0,3,5,2,2,0,124,2020,26,51,0,51,Troop 0012-BT,N,B,
0,0,3,0,0,1,0,0,3,2020,4,6,0,6,Troop 0030-BT,N,B,
2,3,4,6,4,5,3,1,201,2020,27,76,0,76,Troop 0113-BT,N,B,
2,2,4,1,1,2,0,0,52,2020,12,0,15,15,Troop 0113-GT,N,G,
2,2,1,3,2,0,2,0,25,2020,12,14,0,14,Troop 0120-BT,N,B,
0,0,6,6,7,6,6,0,96,2020,31,56,0,56,Troop 0127-BT,N,B,
0,0,0,0,2,2,1,0,17,2020,5,9,0,9,Troop 0142-BT,N,B,
2,2,1,0,1,3,1,0,42,2020,10,24,0,24,Troop 0171-BT,N,B,
0,1,0,0,0,0,1,0,17,2020,2,7,0,7,Troop 0257-BT,N,B,
2,0,4,2,0,1,2,0,62,2020,11,27,0,27,Troop 0308-BT,N,B,
1,2,0,2,1,1,0,0,19,2020,7,0,8,8,Troop 0308-GT,N,G,
0,0,5,4,1,1,0,0,51,2020,11,23,0,23,Troop 0317-BT,N,B,
9,10,9,4,5,6,8,0,165,2020,51,80,0,80,Troop 0345-BT,N,B,
6,5,6,5,1,0,0,0,25,2020,23,0,13,13,Troop 0345-GT,N,G,
2,2,7,4,6,2,4,0,88,2020,27,67,0,67,Troop 0373-BT,N,B,
4,0,1,0,0,0,1,0,16,2020,6,12,0,12,Troop 0375-BT,N,B,
2,0,0,2,1,1,1,0,15,2020,7,9,0,9,Troop 0439-BT,N,B,
5,1,3,3,5,6,5,0,120,2020,28,56,0,56,Troop 0457-BT,N,B,
0,0,0,3,3,1,0,0,26,2020,7,0,10,10,Troop 0457-GT,N,G,
9,0,4,5,2,0,2,0,53,2020,22,37,0,37,Troop 0494-BT,N,B,
5,4,3,5,2,2,2,1,136,2020,23,26,0,26,Troop 0630-BT,N,B,
1,2,2,3,3,4,0,0,66,2020,15,0,8,8,Troop 0630-GT,N,G,
6,3,1,2,2,6,4,0,88,2020,24,40,0,40,Troop 0634-BT,N,B,
4,0,0,0,0,1,1,0,1,2020,6,9,0,9,Troop 0641-BT,N,B,
0,0,0,0,0,0,4,0,11,2020,4,9,0,9,Troop 0644-BT,N,B,
6,3,4,3,2,1,0,0,35,2020,19,28,0,28,Troop 0707-BT,N,B,
3,5,0,2,1,1,4,0,38,2020,16,13,0,13,Troop 0717-BT,N,B,
8,0,1,6,3,1,1,0,43,2020,20,29,0,29,Troop 0770-BT,N,B,
0,0,0,0,0,0,1,0,14,2020,1,11,0,11,Troop 0839-BT,N,B,
0,0,1,0,0,0,0,0,0,2020,1,36,0,36,Troop 1532-BT,N,B,
0,0,0,0,0,0,0,0,0,2021,0,10,0,10,Troop 0003-BT,N,B,
0,0,0,0,0,0,0,0,2,2021,0,37,0,37,Troop 0012-BT,N,B,
0,0,0,0,0,0,0,0,0,2021,0,3,0,3,Troop 0030-BT,N,B,
4,3,0,1,1,2,0,0,10,2021,11,58,0,58,Troop 0113-BT,N,B,
0,2,0,0,0,0,0,0,7,2021,2,0,17,17,Troop 0113-GT,N,G,
0,1,1,1,0,1,0,0,3,2021,4,9,0,9,Troop 0120-BT,N,B,
0,0,0,0,0,0,0,0,0,2021,0,41,0,41,Troop 0127-BT,N,B,
0,0,0,0,0,0,0,0,2,2021,0,18,0,22,Troop 0171-BT,N,B,
0,0,0,0,0,0,0,0,0,2021,0,6,0,6,Troop 0257-BT,N,B,
0,0,0,0,0,0,0,0,1,2021,0,22,0,22,Troop 0308-BT,N,B,
0,0,0,0,0,0,0,0,3,2021,0,0,9,9,Troop 0308-GT,N,G,
0,0,0,0,0,0,1,0,3,2021,1,17,0,17,Troop 0317-BT,N,B,
2,0,0,2,2,1,0,0,13,2021,7,,,0,Troop 0373-BT,N,B,
0,0,0,0,0,0,0,0,6,2021,0,9,0,9,Troop 0375-BT,N,B,
3,2,0,3,2,1,0,0,87,2021,11,51,1,52,Troop 0457-BT,N,B,
0,0,0,0,0,1,0,0,4,2021,1,0,6,6,Troop 0457-GT,N,G,
1,2,1,0,2,1,0,0,20,2021,7,28,0,28,Troop 0630-BT,N,B,
0,0,1,0,1,0,2,0,14,2021,4,0,5,5,Troop 0630-GT,N,G,
0,0,0,0,1,0,0,0,13,2021,1,29,0,29,Troop 0634-BT,N,B,
0,0,0,0,0,0,0,0,0,2021,0,19,0,19,Troop 0707-BT,N,B,
1,0,0,1,1,1,0,0,11,2021,4,14,0,14,Troop 0717-BT,N,B,
1,1,2,0,0,1,1,0,21,2021,6,26,0,26,Troop 0770-BT,N,B,
0,0,0,0,0,0,0,0,0,2021,0,10,0,10,Troop 0839-BT,N,B,
