lion,tiger,bobcat,wolf,bear,webelos,aol,Date,YTD,Male Youth,Female Youth,Youth,Unit,LDS,Gender,Sub-District
,0,3,1,3,0,0,2016,7,15,,15,Pack 0718-BP,,,5
,0,1,0,0,1,1,2017,3,20,,20,Pack 0718-BP,,,5
0,0,0,0,0,0,0,2018,0,18,,18,Pack 0718-BP,,,5
0,0,0,0,0,1,1,2019,2,18,0,18,Pack 0718-BP,Y,BP,5
,0,3,2,5,4,3,2015,17,27,,27,Pack 0719-BP,,,4
,0,1,1,0,0,0,2016,2,35,,35,Pack 0719-BP,,,4
,0,4,7,10,3,2,2017,26,29,,29,Pack 0719-BP,,,4
0,0,8,6,8,7,7,2018,36,37,,37,Pack 0719-BP,,,4
0,0,1,5,5,12,10,2019,33,38,0,38,Pack 0719-BP,Y,BP,4
,8,3,5,6,0,3,2015,25,46,,46,Pack 0725-FP,,,1
,4,7,8,3,6,4,2016,32,49,,49,Pack 0725-FP,,,1
,2,16,3,5,4,2,2017,32,50,,50,Pack 0725-FP,,,1
0,4,26,8,6,11,1,2018,56,68,,68,Pack 0725-FP,,,1
4,4,10,8,3,3,13,2019,45,42,12,54,Pack 0725-FP,N,FP,1
3,2,1,4,1,5,4,2020,20,27,6,33,Pack 0725-FP,N,FP,
0,0,0,0,0,0,0,2021,0,6,3,9,Pack 0725-FP,N,FP,
,0,0,2,0,1,2,2015,5,27,,27,Pack 0732-BP,,,3
,0,0,0,0,0,0,2016,0,21,,21,Pack 0732-BP,,,3
,0,0,0,0,1,1,2017,2,20,,20,Pack 0732-BP,,,3
0,0,0,2,0,0,0,2018,2,14,,14,Pack 0732-BP,,,3
0,0,0,0,0,0,0,2019,0,13,0,13,Pack 0732-BP,Y,BP,3
,0,0,4,5,1,1,2015,11,18,,18,Pack 0733-BP,,,5
,0,7,4,5,5,4,2016,25,24,,24,Pack 0733-BP,,,5
,0,1,0,3,2,3,2017,9,24,,24,Pack 0733-BP,,,5
0,0,1,1,2,1,1,2018,6,32,,32,Pack 0733-BP,,,5
0,0,6,9,2,3,3,2019,23,32,0,32,Pack 0733-BP,Y,BP,5
,2,0,7,2,3,0,2015,14,40,,40,Pack 0734-FP,,,1
,4,5,7,4,6,0,2016,26,65,,65,Pack 0734-FP,,,1
,6,3,6,3,5,6,2017,29,45,,45,Pack 0734-FP,,,1
0,4,9,4,6,4,3,2018,30,43,,43,Pack 0734-FP,,,1
2,0,10,7,4,7,3,2019,33,44,5,49,Pack 0734-FP,N,BP,1
6,5,3,3,8,7,7,2020,39,28,3,31,Pack 0734-FP,N,FP,
,3,0,4,0,0,2,2015,9,27,,27,Pack 0735-FP,,,2
,0,0,0,0,0,0,2016,0,22,,22,Pack 0735-FP,,,2
,3,1,0,1,1,6,2017,12,15,,15,Pack 0735-FP,,,2
0,1,9,1,2,0,3,2018,16,24,,24,Pack 0735-FP,,,2
3,5,7,0,1,1,2,2019,19,14,8,22,Pack 0735-FP,N,FP,2
1,0,0,1,0,0,0,2020,2,9,4,13,Pack 0735-FP,N,FP,
,0,0,1,0,0,0,2015,1,11,,11,Pack 0739-BP,,,4
,0,0,0,0,0,0,2016,0,17,,17,Pack 0739-BP,,,4
,0,0,0,0,0,0,2017,0,10,,10,Pack 0739-BP,,,4
0,0,0,0,0,0,0,2018,0,11,,11,Pack 0739-BP,,,4
0,0,1,1,0,0,0,2019,2,11,0,11,Pack 0739-BP,Y,BP,4
,0,4,4,1,1,1,2015,11,24,,24,Pack 0740-BP,,,5
,0,9,7,5,4,2,2016,27,22,,22,Pack 0740-BP,,,5
,0,0,0,2,5,5,2017,12,22,,22,Pack 0740-BP,,,5
0,0,0,3,3,2,2,2018,10,24,,24,Pack 0740-BP,,,5
0,0,0,0,0,1,1,2019,2,24,0,24,Pack 0740-BP,Y,BP,5
,0,1,5,3,1,1,2015,11,42,,42,Pack 0743-BP,,,5
,0,2,2,1,1,2,2016,8,37,,37,Pack 0743-BP,,,5
,0,0,0,2,0,3,2017,5,41,,41,Pack 0743-BP,,,5
0,0,1,1,4,4,5,2018,15,15,,15,Pack 0743-BP,,,5
0,0,1,2,0,4,4,2019,11,15,0,15,Pack 0743-BP,Y,BP,5
,0,6,2,6,3,4,2015,21,24,,24,Pack 0746-BP,,,5
,0,1,6,0,1,1,2016,9,13,,13,Pack 0746-BP,,,5
,0,0,0,1,0,0,2017,1,21,,21,Pack 0746-BP,,,5
0,0,5,9,0,3,4,2018,21,26,,26,Pack 0746-BP,,,5
0,0,2,2,6,5,5,2019,20,25,0,25,Pack 0746-BP,Y,BP,5
,1,0,2,2,4,0,2015,9,18,,18,Pack 0749-FP,,,1
,4,0,1,1,2,2,2016,10,17,,17,Pack 0749-FP,,,1
,0,0,1,0,0,1,2017,2,19,,19,Pack 0749-FP,,,1
0,2,5,2,4,0,0,2018,13,29,,29,Pack 0749-FP,,,1
3,4,4,1,4,4,1,2019,21,21,5,26,Pack 0749-FP,N,FP,1
0,1,0,0,0,0,5,2020,6,15,3,18,Pack 0749-FP,N,FP,
,0,0,0,0,0,0,2015,0,18,,18,Pack 0753-BP,,,5
,0,0,0,0,4,0,2016,4,9,,9,Pack 0753-BP,,,5
0,0,3,1,0,2,1,2018,7,19,,19,Pack 0757-BP,,,5
0,0,2,4,4,0,0,2019,10,19,0,19,Pack 0757-BP,Y,BP,5
,0,3,1,3,1,2,2015,10,23,,23,Pack 0763-BP,,,5
,0,3,6,1,3,3,2016,16,18,,18,Pack 0763-BP,,,5
,0,2,2,3,2,2,2017,11,17,,17,Pack 0763-BP,,,5
0,0,3,4,0,2,2,2018,11,21,,21,Pack 0763-BP,,,5
0,0,0,1,0,0,0,2019,1,20,0,20,Pack 0763-BP,Y,BP,5
6,2,12,11,4,4,8,2020,47,43,0,43,Pack 0770-BP,N,BP,
0,1,2,0,0,0,0,2021,3,37,0,37,Pack 0770-BP,N,BP,
,0,0,0,0,0,0,2015,0,13,,13,Pack 0773-BP,,,4
,0,0,0,0,0,0,2016,0,20,,20,Pack 0773-BP,,,4
,0,0,0,0,0,0,2017,0,7,,7,Pack 0773-BP,,,4
0,0,2,1,3,2,0,2018,8,20,,20,Pack 0773-BP,,,4
0,0,0,0,0,1,3,2019,4,18,0,18,Pack 0773-BP,Y,BP,4
,0,3,4,3,0,0,2015,10,23,,23,Pack 0793-BP,,,5
,0,0,0,0,0,0,2016,0,27,,27,Pack 0793-BP,,,5
,0,1,0,0,0,0,2017,1,35,,35,Pack 0793-BP,,,5
0,0,6,3,5,2,2,2018,18,42,,42,Pack 0793-BP,,,5
0,0,0,5,1,6,7,2019,19,42,0,42,Pack 0793-BP,Y,BP,5
,9,1,6,8,1,10,2015,35,43,,43,Pack 0914-FP,,,2
,0,0,10,0,0,0,2016,10,47,,47,Pack 0914-FP,,,2
,1,7,0,0,0,9,2017,17,49,,49,Pack 0914-FP,,,2
0,5,4,4,4,7,0,2018,24,39,,39,Pack 0914-FP,,,2
0,1,14,0,2,6,0,2019,23,45,1,46,Pack 0914-FP,N,BP,2
4,4,13,4,6,2,5,2020,38,44,2,46,Pack 0914-FP,N,FP,
0,0,0,0,0,0,0,2021,0,30,2,32,Pack 0914-FP,N,FP,
,0,1,1,0,0,0,2015,2,29,,29,Pack 0923-BP,,,3
,0,0,0,0,0,0,2016,0,12,,12,Pack 0923-BP,,,3
,0,0,0,0,0,0,2017,0,11,,11,Pack 0923-BP,,,3
0,0,0,0,0,0,0,2018,0,2,,2,Pack 0923-BP,,,3
0,0,0,0,0,0,0,2019,0,3,0,3,Pack 0923-BP,Y,BP,3
,0,0,0,0,0,0,2015,0,122,,122,Pack 1127-FP,,,2
,0,0,0,0,0,0,2016,0,89,,89,Pack 1127-FP,,,2
,0,2,0,0,0,0,2017,2,67,,67,Pack 1127-FP,,,2
0,3,5,8,9,15,3,2018,43,73,,73,Pack 1127-FP,,,2
0,12,9,8,10,12,5,2019,56,65,1,66,Pack 1127-FP,N,BP,2
3,6,9,0,7,7,6,2020,38,56,1,57,Pack 1127-FP,N,FP,
0,0,1,0,0,0,1,2021,2,35,1,36,Pack 1127-FP,N,FP,
,6,14,7,8,0,0,2015,35,51,,51,Pack 2010-FP,,,2
,4,3,3,1,3,0,2016,14,44,,44,Pack 2010-FP,,,2
,8,1,10,6,0,7,2017,32,35,,35,Pack 2010-FP,,,2
0,7,20,9,4,7,2,2018,49,62,,62,Pack 2010-FP,,,2
4,3,20,9,4,4,4,2019,48,67,9,76,Pack 2010-FP,N,FP,2
5,6,6,8,9,4,0,2020,38,54,6,60,Pack 2010-FP,N,FP,
0,2,0,5,0,4,0,2021,11,33,4,37,Pack 2010-FP,N,FP,
,0,1,0,0,0,0,2015,1,14,,14,Pack 7777-BP,,,
,0,0,0,0,0,0,2016,0,14,,14,Pack 7777-BP,,,
